tweet_id,is_hate_tweet,annotation,has_mentions,num_mentions,has_hashtags,num_hashtags,has_urls,num_urls,total_positive_tokens,positive_token_ratio,total_negative_tokens,negative_token_ratio,total_subjective_tokens,subjective_token_ratio,blacklist_total,blacklist_ratio,char_count,token_count,has_uppercase_token,uppercase_token_ratio,lowercase_token_ratio,mixedcase_token_ratio,has_digits,has_questionmark,has_fullstop,has_exclamationpoint,tweet_age,tweet_hour,len_handle,len_name,account_age
552621472418889728,TRUE,racism,TRUE,3,FALSE,0,FALSE,0,1,0.05,1,0.05,4,0.2,2,0.1,139,20,FALSE,0,0.7,0.3,FALSE,FALSE,TRUE,FALSE,855,1,9,10,870
564854996450017281,TRUE,racism,TRUE,4,FALSE,0,FALSE,0,1,0.04761904762,1,0.04761904762,3,0.1428571429,1,0.04761904762,140,21,FALSE,0,0.6666666667,0.3333333333,TRUE,FALSE,TRUE,FALSE,822,19,9,10,870
552568185355239426,TRUE,racism,TRUE,3,FALSE,0,FALSE,0,2,0.1,2,0.1,3,0.15,0,0,113,20,FALSE,0,0.65,0.35,FALSE,FALSE,TRUE,FALSE,856,21,9,10,870
552487055553757187,FALSE,none,TRUE,1,TRUE,2,FALSE,0,2,0.06666666667,2,0.06666666667,3,0.1,2,0.06666666667,140,30,TRUE,0.1,0.7,0.2,FALSE,FALSE,TRUE,FALSE,856,16,9,10,870
562678175852167172,TRUE,sexism,FALSE,0,TRUE,1,FALSE,0,0,0,4,0.1739130435,5,0.2173913043,0,0,139,23,TRUE,0.04347826087,0.652173913,0.3043478261,FALSE,FALSE,TRUE,FALSE,828,19,5,16,993
562782575656435717,FALSE,none,TRUE,1,FALSE,0,FALSE,0,0,0,0,0,1,0.125,1,0.125,45,8,FALSE,0,0.625,0.375,TRUE,FALSE,FALSE,FALSE,827,2,14,16,3365
562712526992211974,FALSE,none,TRUE,1,TRUE,1,FALSE,0,2,0.1428571429,1,0.07142857143,4,0.2857142857,0,0,94,14,FALSE,0,0.8571428571,0.1428571429,TRUE,FALSE,TRUE,FALSE,828,21,14,16,3365
559861333269544961,FALSE,none,TRUE,1,FALSE,0,FALSE,0,0,0,0,0,0,0,0,0,43,7,FALSE,0,0.7142857143,0.2857142857,TRUE,FALSE,TRUE,FALSE,836,24,9,10,870
565363767090085896,TRUE,sexism,TRUE,1,TRUE,3,FALSE,0,0,0,1,0.05555555556,1,0.05555555556,1,0.05555555556,140,18,TRUE,0.05555555556,0.6111111111,0.3333333333,FALSE,FALSE,TRUE,FALSE,820,5,5,16,993
563084011489480704,FALSE,none,FALSE,0,FALSE,0,FALSE,0,3,0.1666666667,0,0,2,0.1111111111,1,0.05555555556,80,18,FALSE,0,0.6666666667,0.3333333333,FALSE,FALSE,TRUE,FALSE,827,22,14,16,3365
